count_read_event,count_write_event,count_sensitive_file_access_fails,count_socket_connect_event_successfully,count_socket_connect_event_fails,count_socket_create_event,count_file_modification_event_successfully,count_file_modification_event_fails,count_file_creation_event,count_link_event,count_symlink_event,count_dir_creation_event,count_dir_remove_event,count_mknod_create_event,count_rename_event,count_auth_event_successfully,count_auth_event_fails,count_passwd_change_event_successfully,count_passwd_change_event_fails,count_user_change_event_successfully,count_user_change_event_fails,count_do_not_update_atime,count_was_modified_time_changed,count_owner_changed,count_group_changed,count_suid_set,count_suid_cleared,count_sgid_set,count_sgid_cleared,count_sticky_set,count_sticky_cleared,count_user_write_added,count_user_write_removed,count_user_read_added,count_user_read_removed,count_user_exec_added,count_user_exec_removed,count_group_write_added,count_group_write_removed,count_group_exec_added,count_group_exec_removed,count_world_write_been_added,count_world_read_been_added,count_world_exec_been_added,count_external_ip,is_priviliged_port,count_sensitive_file,count_is_linked_to_sensitive_file,count_linked_file_SGID_or_SUID,count_atime_flag_been_set,count_modified_time_been_changed,is_current_dir_world_writable,is_target_dir_world_writable,is_in_memory_path,is_cross_user_link,is_dev_backdoor,is_fake_device,argv_has_network,argv_is_ip,argv_has_encoding,argv_is_net_tool,argv_is_sudo,argv_entropy,risk_score,label,chain_12,chain_168,chain_192,chain_60,chain_cat,chain_dir,chain_exclude,chain_grep,chain_home,chain_key,chain_local,chain_mozilla,chain_nc,chain_npm,chain_password,chain_re,chain_sh,chain_system_maintenance,chain_temp_scan,chain_tmp
0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,3.717225032327759,suspicious,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.12177972438121891,0.5255359149626079,0.5255359149626079,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.12177972438121891,0.13671419960210518,0.24355944876243782,0.33992451495497983
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,1.8946236936214755,suspicious,0.0,0.0,0.0,0.0,0.0,0.6324555320336758,0.6324555320336758,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.0,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.541977773207955,1.835934059370504,suspicious,0.0,0.0,0.0,0.0,0.590722988289007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.590722988289007,0.5496296045645752
0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.424338178594896,3.207295797989175,suspicious,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.6770160946159374,5.424106084586088,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.6770160946159374,3.723727835215077,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.228954932940702,2.3149560034110093,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,9,0,15,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,4.456322617036122,suspicious,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.10829310743941371,0.46733491631299295,0.46733491631299295,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.3248793223182411,0.24314729863664422,0.21658621487882743,0.40303898103842706
1,0,0,6,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,4.291281643858015,suspicious,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.10829310743941371,0.46733491631299295,0.46733491631299295,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.3248793223182411,0.24314729863664422,0.21658621487882743,0.40303898103842706
0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,4.095178305881205,suspicious,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.12177972438121891,0.5255359149626079,0.5255359149626079,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.13138397874065197,0.12177972438121891,0.13671419960210518,0.24355944876243782,0.33992451495497983
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,3.240639096655867,suspicious,0.0,0.0,0.0,0.0,0.0,0.6324555320336758,0.6324555320336758,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.0,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.541977773207955,1.835934059370504,suspicious,0.0,0.0,0.0,0.0,0.590722988289007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.590722988289007,0.5496296045645752
0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.424338178594896,3.207295797989175,suspicious,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.582603381847579,1.8391679953947728,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321126607964129,0.6811835669638518
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.582603381847579,1.8391679953947728,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321126607964129,0.6811835669638518
2,0,0,8,0,12,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,4.307707714030522,suspicious,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.11454938401336795,0.4943336474257334,0.4943336474257334,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.34364815204010385,0.2571943306634216,0.11454938401336795,0.31974242015233967
1,0,0,6,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,3.915218803006824,suspicious,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.11454938401336795,0.4943336474257334,0.4943336474257334,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.12358341185643335,0.34364815204010385,0.2571943306634216,0.11454938401336795,0.31974242015233967
0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,3.614964995367533,suspicious,0.13916393730324939,0.13916393730324939,0.13916393730324939,0.13916393730324939,0.12899096290917242,0.5566557492129975,0.5566557492129975,0.13916393730324939,0.13916393730324939,0.13916393730324939,0.13916393730324939,0.13916393730324939,0.13916393730324939,0.13916393730324939,0.13916393730324939,0.13916393730324939,0.12899096290917242,0.14480978947552972,0.12899096290917242,0.24003552711405995
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,1.8946236936214755,suspicious,0.0,0.0,0.0,0.0,0.0,0.6324555320336758,0.6324555320336758,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.0,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.541977773207955,1.835934059370504,suspicious,0.0,0.0,0.0,0.0,0.590722988289007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.590722988289007,0.5496296045645752
0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.424338178594896,3.207295797989175,suspicious,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
